outcome,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,cov1,cov2,cov3,cov4,wqs,wqs.residuals,qgcomp.residuals
1.206893083,-0.424751043,-1.201567985,0.090827421,0.358610465,-0.428617981,0.975248576,0.32990713,-1.509186567,-0.648015047,0.296046373,0.321677767,0.50988837,-0.430032649,-0.473706451,0.810136204,-1.008426154,-2.057902236,-0.883823625,0.793112207,0.232558869,0.354463192,-0.496031897,-0.964182766,-0.532366459,0.676100686,2.011190564,0.747585681,0.172872353,-1.292047799,0.082417538,0.974749735,0.804235659
1.15884821,1.429273397,0.024740686,1.223566,0.905751558,2.214541069,1.095270874,2.217897582,1.748263952,2.589311155,2.788876151,1.992875483,1.372915899,2.532649138,-0.031082062,0.645370441,0.250966936,2.532609469,2.6705666,2.360815881,2.295405989,0.907345032,2.837740208,1.977426339,1.480494427,-0.288214823,0.386223058,-0.665597874,0.047339254,1.149505883,1.800780703,-0.151315458,-0.078487571
-0.221648484,0.312558885,1.297077696,1.776011181,0.872582352,0.051358865,1.291229933,-0.554103664,0.403955422,-0.438750071,1.083361754,2.062041066,1.194511647,0.92900413,2.493007324,-1.777962448,1.736214534,0.604326435,0.45236433,1.801224679,-0.445552821,0.493185219,0.154119264,0.806188125,-0.368944926,1.873317643,-0.532858707,0.790483628,-0.48570069,-0.138960222,0.652149707,-0.811215029,-0.78154332
-0.536926037,-0.192482851,-0.93791372,-1.18982238,-1.071714015,-0.310015161,-0.331686658,-0.66004669,-0.359416859,-0.390757547,-0.878884684,-0.306080159,-1.899927079,-1.153149891,-1.137923167,-0.072442356,-0.827070716,0.304542924,-1.448584729,0.415570611,-1.519209331,-1.11856992,-0.727573082,0.390491481,-0.66309095,0.01021944,0.327138357,-1.008081694,0.633353476,-0.644428217,-0.794635709,-0.218847383,-0.163480429
-0.560712074,0.179130828,-0.676056216,-0.18143912,-0.630522919,-0.175472601,-1.163706803,1.567257434,-0.617682087,-1.022951244,-0.765630368,-0.605091766,-0.633726886,-0.307198289,0.662938673,0.101044258,1.267561369,-0.612942275,0.168878173,-1.078402958,-0.941667395,1.017040098,-1.316497839,0.19381374,-0.329381998,-0.745692268,-0.047237383,-0.808140206,-0.366040847,-0.676977513,-0.399402486,-0.490584176,-0.367251484
0.46910097,1.195922595,1.780492111,1.224274284,0.696366891,0.89085606,0.644079509,0.733593352,0.69224955,0.150046481,1.059017181,0.837890797,0.647934879,1.263501091,2.239423004,0.753372842,-0.204619309,-0.259951895,2.41998001,-1.143493877,0.366040719,1.70754818,0.413432926,-0.164825429,0.726750723,-0.135022505,0.209915296,0.428967449,0.010609416,1.940693636,0.826590745,-0.229901687,-0.245565925
-0.165533905,-0.608135614,-1.132878525,-1.001497535,-0.16803903,-0.352631055,-0.643343179,0.104994238,-1.17839216,1.148878814,-1.781923777,0.023223374,-1.108584606,-1.386526739,0.456844716,0.417456436,-0.193296452,0.130958868,0.038783735,-1.767803958,-1.159535688,-0.679176476,0.269326724,0.234804196,-0.245981301,0.61679967,0.591091811,0.972885204,0.8054019,-0.852485745,-0.647315381,0.060122896,0.114271991
-0.488405508,-0.523624105,0.965348999,-0.079997181,-0.11728918,0.781370349,-2.013725414,1.733831858,1.503061756,-1.111617981,-0.908822552,-0.473634912,-0.292872505,-1.962750374,0.018082359,-0.171327268,-0.669711336,-0.286222147,-0.55034492,-0.522058203,-0.476414785,-0.006031573,-0.16753667,-1.282836672,-0.763393174,-0.629370312,-0.771747954,-0.46644093,-0.805368336,-0.13145226,-0.320610082,-0.467708262,-0.451142903
-0.28031588,-1.079916407,-0.284590725,-0.186671472,0.305132034,-0.181469651,-0.452761526,-1.627013371,-1.577514501,0.762991506,-1.601180096,0.436286021,-1.201718056,-0.238468989,-1.228297669,1.058997644,-0.025738044,-0.424983762,-1.567797716,0.311533255,-0.243330454,1.602187162,0.744994157,0.161993702,-0.161221326,0.465072365,0.207257583,0.292771794,0.882482446,0.815529153,-0.19939063,-0.335666024,-0.449902526
1.493415993,-0.135037636,0.058312343,0.090484495,-0.600848751,0.013398925,1.661951912,0.844353248,0.250527953,-0.772626867,-0.349654502,0.65105037,0.282924108,-0.22289226,0.550061919,-0.332723689,0.392271978,-0.239122521,-0.786417437,1.051673371,0.543567991,0.517448285,0.649575756,-0.136283554,-1.343342329,0.052974143,0.963869791,0.012386216,0.714827579,2.339165815,0.11640813,1.239948544,1.181841821
1.057905102,-0.799374862,1.099783786,0.078832938,0.897480912,0.076273592,0.907129284,0.383579376,0.737631814,-1.43442434,0.197989178,2.187780582,-0.638959246,-0.504574932,0.915599984,-0.029402039,0.313527807,-0.247468553,-0.924552633,-0.733994397,-0.012536996,0.633212987,0.751273921,-0.525632725,-0.241589485,-1.049060468,-0.25511166,0.369160739,2.057186229,-0.124804605,0.289548472,0.695817537,0.437624601
-0.61967046,-1.301944178,-0.340416265,-0.08458796,0.887852577,-0.140332236,-0.790040821,0.472641932,0.095145427,-0.168698924,0.350003157,-0.45183477,-0.306157623,-0.931538631,1.01722317,-0.651267194,-0.557568063,0.500719164,0.075899037,-1.386041293,-1.999600937,-1.314382319,-0.600751899,-1.206210415,-0.67940938,-1.495873749,-1.44860695,-0.699072311,-0.705256484,1.089270339,-0.492448322,-0.491169976,-0.572067208
